Date,Calls,day,sin_day_of_week,cos_day_of_week,sin_month,cos_month,sin_week_of_year,cos_week_of_year,is_holiday
2017-06-15,457,15,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0.23931566428755768,-0.970941817426052,0
2017-06-16,506,16,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,0.23931566428755768,-0.970941817426052,0
2017-06-17,339,17,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,0.23931566428755768,-0.970941817426052,0
2017-06-18,315,18,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,0.23931566428755768,-0.970941817426052,0
2017-06-19,479,19,0.0,1.0,0.49999999999999994,-0.8660254037844387,0.12053668025532308,-0.992708874098054,0
2017-06-20,594,20,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,0.12053668025532308,-0.992708874098054,0
2017-06-21,549,21,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,0.12053668025532308,-0.992708874098054,0
2017-06-22,573,22,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0.12053668025532308,-0.992708874098054,0
2017-06-23,565,23,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,0.12053668025532308,-0.992708874098054,0
2017-06-24,298,24,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,0.12053668025532308,-0.992708874098054,0
2017-06-25,294,25,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,0.12053668025532308,-0.992708874098054,0
2017-06-26,535,26,0.0,1.0,0.49999999999999994,-0.8660254037844387,-3.216245299353273e-16,-1.0,0
2017-06-27,569,27,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,-3.216245299353273e-16,-1.0,0
2017-06-28,561,28,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,-3.216245299353273e-16,-1.0,0
2017-06-29,538,29,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,-3.216245299353273e-16,-1.0,0
2017-06-30,419,30,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,-3.216245299353273e-16,-1.0,0
2017-07-01,318,1,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,-3.216245299353273e-16,-1.0,0
